#	 mag	 abs_mag	 b.c.
-0.740247	0.740247	1
-0.740247	0.740247	1
-0.740444	0.740444	1
-0.740444	0.740444	1
0.620346	0.620346	1
0.620346	0.620346	1
-0.48958	0.48958	1
-0.48958	0.48958	1
0.374222	0.374222	1
0.374222	0.374222	1
0.364346	0.364346	1
0.250963	0.250963	-1
0.253531	0.253531	-1
0.00108642	0.00108642	1
0.00128395	0.00128395	1
-0.0757531	0.0757531	-1
0.231802	0.231802	-1
0.284346	0.284346	1
0.284543	0.284543	1
0.284543	0.284543	1
0.289481	0.289481	1
0.270914	0.270914	-1
0.270519	0.270519	-1
0.284346	0.284346	1
-0.31042	0.31042	1
-0.258469	0.258469	-1
-0.257481	0.257481	-1
-0.334519	0.334519	1
-0.335111	0.335111	1
-0.19763	0.19763	-1
-0.075358	0.075358	-1
-0.0650864	0.0650864	1
-0.0465185	0.0465185	1
-0.103605	0.103605	-1
-0.0986667	0.0986667	-1
-0.0648889	0.0648889	1
-0.262222	0.262222	1
-0.246617	0.246617	-1
-0.24484	0.24484	-1
-0.240296	0.240296	1
0.0295309	0.0295309	1
0.0309136	0.0309136	-1
0.0281481	0.0281481	-1
-0.0552099	0.0552099	1
-0.0386173	0.0386173	1
-0.017284	0.017284	-1
-0.0194568	0.0194568	-1
0.00365432	0.00365432	1
-0.154173	0.154173	1
-0.146074	0.146074	-1
-0.150815	0.150815	-1
-0.233778	0.233778	1
-0.23358	0.23358	1
-0.10558	0.10558	-1
0.10637	0.10637	-1
0.0518519	0.0518519	1
-0.283556	0.283556	1
-0.165827	0.165827	-1
-0.16563	0.16563	-1
-0.283556	0.283556	1
0.0951111	0.0951111	1
0.127704	0.127704	-1
0.127901	0.127901	-1
0.046716	0.046716	1
0.0459259	0.0459259	1
0.128099	0.128099	-1
0.215605	0.215605	-1
0.153975	0.153975	1
0.154173	0.154173	1
0.177284	0.177284	-1
0.154765	0.154765	-1
0.115852	0.115852	1
0.114469	0.114469	1
0.184198	0.184198	-1
0.158321	0.158321	-1
0.130864	0.130864	1
0.130667	0.130667	1
