#	 mag	 abs_mag	 b.c.
-0.72675	0.72675	1
-0.72675	0.72675	1
-0.72575	0.72575	1
-0.72575	0.72575	1
0.581917	0.581917	1
0.581917	0.581917	1
-0.470333	0.470333	1
-0.470333	0.470333	1
0.328333	0.328333	1
-0.359083	0.359083	-1
0.251333	0.251333	-1
0.266	0.266	1
0.273417	0.273417	1
0.216333	0.216333	-1
0.216417	0.216417	-1
0.222	0.222	1
0.221917	0.221917	1
0.184083	0.184083	-1
0.18425	0.18425	-1
0.2305	0.2305	1
0.2315	0.2315	1
0.2435	0.2435	-1
0.243583	0.243583	-1
0.270917	0.270917	1
0.271083	0.271083	1
0.187417	0.187417	-1
0.187167	0.187167	-1
0.261833	0.261833	1
0.263667	0.263667	1
0.2115	0.2115	-1
0.207583	0.207583	-1
-0.240583	0.240583	1
-0.240833	0.240833	1
-0.275667	0.275667	-1
0.266417	0.266417	-1
-0.23675	0.23675	1
-0.23775	0.23775	1
-0.259083	0.259083	-1
-0.240083	0.240083	-1
0.0680833	0.0680833	1
0.0683333	0.0683333	1
-0.0835833	0.0835833	-1
-0.0835	0.0835	-1
0.0893333	0.0893333	1
0.0891667	0.0891667	1
-0.138417	0.138417	-1
-0.1365	0.1365	-1
0.0235833	0.0235833	1
0.0226667	0.0226667	1
-0.16175	0.16175	-1
-0.162	0.162	-1
-0.0599167	0.0599167	1
-0.0601667	0.0601667	1
-0.133333	0.133333	-1
-0.133417	0.133417	-1
0.273	0.273	1
0.273083	0.273083	1
0.154333	0.154333	-1
-0.221667	0.221667	-1
-0.294833	0.294833	1
-0.294917	0.294917	1
-0.164917	0.164917	-1
0.1755	0.1755	-1
0.261167	0.261167	1
0.261	0.261	1
0.14125	0.14125	-1
0.141167	0.141167	-1
0.254	0.254	1
0.254083	0.254083	1
0.153083	0.153083	-1
0.153417	0.153417	-1
0.209833	0.209833	1
0.220833	0.220833	1
0.17525	0.17525	-1
0.175417	0.175417	-1
0.207667	0.207667	1
-0.279833	0.279833	1
-0.24125	0.24125	-1
-0.2365	0.2365	-1
-0.309667	0.309667	1
