0.2391	4	2.44421	0.00740418
0.2391	6	3.7163	0.00978799
0.2391	8	5.32174	0.0164217
0.2391	10	7.32451	0.0344151
0.2391	12	9.81744	0.099693
0.2391	14	12.3087	0.349031
#0.2391	16	inf	-nan
0.2327	4	2.19853	0.00765289
0.2327	6	3.07653	0.0086042
0.2327	8	4.06351	0.0107037
0.2327	10	5.24916	0.0152343
0.2327	12	6.64496	0.0252298
0.2327	14	8.3896	0.0498419
0.2327	16	10.4187	0.122036
0.2275	4	2.00673	0.00816981
0.2275	6	2.64553	0.00851963
0.2275	8	3.23831	0.0090391
0.2275	10	3.83927	0.0109341
0.2275	12	4.53142	0.012985
0.2275	14	5.31382	0.0160757
0.2275	16	6.18701	0.0211497
0.2255	4	1.92898	0.00841571
0.2255	6	2.50766	0.0089206
0.2255	8	2.96569	0.00966143
0.2255	10	3.41053	0.00990108
0.2255	12	3.85727	0.0115159
0.2255	14	4.35651	0.0120694
0.2255	16	4.92491	0.0150142
0.224	4	1.898	0.00917009
0.224	6	2.39919	0.008793
0.224	8	2.7948	0.0094551
0.224	10	3.12861	0.0100241
0.224	12	3.45623	0.0105529
0.224	14	3.7864	0.0114481
0.224	16	4.11371	0.0124572
0.223	4	1.86617	0.00906332
0.223	6	2.33818	0.00919248
0.223	8	2.67815	0.0105071
0.223	10	2.97708	0.0102969
0.223	12	3.2196	0.0114644
0.223	14	3.46508	0.0115734
0.223	16	3.68761	0.0119486
#0.222	4	1.82434	0.0092042
#0.222	6	2.27877	0.00957122
#0.222	8	2.58164	0.0103817
#0.222	10	2.82482	0.0108581
#0.222	12	3.02956	0.0112055
#0.222	14	3.18509	0.0124425
#0.2215	4	1.81427	0.00921126
#0.221	4	1.80334	0.00938069
#0.221	6	2.20741	0.0101155
#0.22	4	1.76232	0.0100886
#0.221	8	2.4872	0.0109522
#0.222	16	3.34441	0.0122006
#0.21	4	1.50051	0.0141477
#0.221	4	1.77917	0.00992126
#0.221	10	2.67672	0.0114339
#0.221	6	2.18996	0.0102094
#0.221	8	2.4826	0.0105082
#0.222	18	3.50251	0.0127229
#0.221	12	2.83438	0.0123796
#0.221	10	2.68298	0.0122125
0.223	18	3.93842	0.0127488
#0.221	12	2.84843	0.0124367
#0.221	14	2.96024	0.0129609
0.224	18	4.47301	0.0139426
#0.221	14	2.94601	0.0129254
0.2255	18	5.55408	0.0184513
0.2275	18	7.25803	0.030773
#0.221	16	3.0687	0.0134846
#0.221	16	3.05143	0.0135297
0.2327	18	12.5601	0.349731
#0.221	18	3.1748	0.0145782
#0.221	18	3.17608	0.0136992
#0.23	4	2.09922	0.00778237
#0.23	6	2.83107	0.00870922
#0.23	8	3.60959	0.00931634
0.223	4	1.86756	0.00952655
0.223	6	2.31895	0.00940022
0.223	8	2.69141	0.0100833
0.223	10	2.95903	0.0106164
0.223	12	3.21254	0.0112065
0.223	14	3.45593	0.0116007
#0.221	18	3.15949	0.0143252
#0.222	18	3.49201	0.0119783
0.223	16	3.69032	0.0113355
#0.221	20	3.23992	0.0147455
#0.222	20	3.63389	0.0134272
#0.221	22	3.31048	0.0157484
0.223	20	4.1716	0.0140688
0.224	20	4.85551	0.0162943
#0.221	26	3.3899	0.0189519
#0.222	22	3.72283	0.0133383
0.2255	20	6.22448	0.0217767
#0.221	24	3.35846	0.0190894
#0.222	26	3.97102	0.0140824
0.2275	20	8.2584	0.0427485
0.2327	20	14.1696	0.979018
0.223	22	4.40685	0.0137343
0.223	26	4.88993	0.0161164
#0.222	24	3.89798	0.0141401
0.224	22	5.27059	0.0167934
0.224	26	6.20193	0.0217975
0.2255	22	6.98098	0.0273119
0.2255	26	8.6143	0.0499812
0.223	24	4.65887	0.0143976
