#	 mag	 abs_mag	 b.c.
-0.754667	0.754667	1
-0.754667	0.754667	1
-0.76	0.76	1
-0.76	0.76	1
-0.765333	0.765333	1
-0.765333	0.765333	1
0.76	0.76	1
-0.413333	0.413333	-1
-0.258667	0.258667	-1
0.514667	0.514667	1
0.530667	0.530667	1
0.365333	0.365333	-1
0.376	0.376	-1
0.226667	0.226667	1
0.221333	0.221333	1
0.072	0.072	-1
0.0773333	0.0773333	-1
0.461333	0.461333	1
0.44	0.44	1
0.205333	0.205333	-1
0.130667	0.130667	-1
-0.456	0.456	1
0.658667	0.658667	1
-0.146667	0.146667	-1
0.408	0.408	-1
0.472	0.472	1
0.546667	0.546667	1
0.173333	0.173333	-1
0.178667	0.178667	-1
0.525333	0.525333	1
-0.274667	0.274667	1
0.504	0.504	-1
0.498667	0.498667	-1
0.509333	0.509333	1
0.504	0.504	1
-0.376	0.376	-1
-0.381333	0.381333	-1
-0.2	0.2	1
-0.0186667	0.0186667	1
-0.317333	0.317333	-1
-0.125333	0.125333	-1
-0.594667	0.594667	1
0.541333	0.541333	1
-0.104	0.104	-1
0.152	0.152	-1
0.461333	0.461333	1
-0.173333	0.173333	1
0.226667	0.226667	-1
-0.392	0.392	-1
0.504	0.504	1
-0.530667	0.530667	1
-0.146667	0.146667	-1
-0.088	0.088	-1
-0.552	0.552	1
-0.312	0.312	1
0.12	0.12	-1
0.173333	0.173333	-1
-0.68	0.68	1
-0.685333	0.685333	1
-0.685333	0.685333	1
-0.68	0.68	1
-0.157333	0.157333	-1
0.056	0.056	-1
0.589333	0.589333	1
0.584	0.584	1
-0.109333	0.109333	-1
-0.12	0.12	-1
-0.557333	0.557333	1
-0.541333	0.541333	1
-0.232	0.232	-1
-0.253333	0.253333	-1
-0.621333	0.621333	1
-0.557333	0.557333	1
-0.146667	0.146667	-1
0.242667	0.242667	-1
0.685333	0.685333	1
-0.594667	0.594667	1
0.472	0.472	-1
0.408	0.408	-1
-0.488	0.488	1
-0.456	0.456	1
0.28	0.28	-1
0.285333	0.285333	-1
0.008	0.008	1
0.0346667	0.0346667	1
0.322667	0.322667	-1
-0.210667	0.210667	-1
-0.557333	0.557333	1
-0.589333	0.589333	1
0.056	0.056	-1
-0.189333	0.189333	-1
0.6	0.6	1
0.626667	0.626667	1
-0.0133333	0.0133333	-1
0.157333	0.157333	-1
0.168	0.168	1
-0.0186667	0.0186667	1
0.0826667	0.0826667	-1
0.0293333	0.0293333	-1
0.0933333	0.0933333	1
0.104	0.104	1
-0.0293333	0.0293333	-1
-0.28	0.28	-1
-0.530667	0.530667	1
0.429333	0.429333	1
-0.0293333	0.0293333	-1
-0.0186667	0.0186667	-1
0.28	0.28	1
0.536	0.536	1
-0.205333	0.205333	-1
-0.210667	0.210667	-1
0.338667	0.338667	1
-0.530667	0.530667	1
-0.210667	0.210667	-1
-0.205333	0.205333	-1
-0.354667	0.354667	1
0.493333	0.493333	1
0.44	0.44	-1
0.445333	0.445333	-1
0.008	0.008	1
-0.0133333	0.0133333	1
-0.024	0.024	-1
-0.344	0.344	-1
0.152	0.152	1
-0.008	0.008	1
-0.162667	0.162667	-1
0.466667	0.466667	-1
0.232	0.232	1
0.237333	0.237333	1
0.349333	0.349333	-1
-0.317333	0.317333	-1
0.349333	0.349333	1
0.312	0.312	1
-0.344	0.344	-1
0.104	0.104	-1
0.024	0.024	1
-0.0666667	0.0666667	1
-0.114667	0.114667	-1
-0.104	0.104	-1
-0.12	0.12	1
-0.00266667	0.00266667	1
0.0613333	0.0613333	-1
0.0186667	0.0186667	-1
-0.525333	0.525333	1
0.488	0.488	1
0.445333	0.445333	-1
0.306667	0.306667	-1
0.162667	0.162667	1
-0.141333	0.141333	1
0.232	0.232	-1
-0.008	0.008	-1
0.514667	0.514667	1
