#	 mag	 abs_mag	 b.c.
0.998	0.998	1
0.998	0.998	1
-0.612	0.612	1
-0.612	0.612	1
0.352	0.352	1
0.16	0.16	-1
0.162	0.162	-1
0.336	0.336	1
0.15	0.15	1
0.176	0.176	-1
0.17	0.17	-1
0.202	0.202	1
0.2	0.2	1
-0.196	0.196	-1
-0.194	0.194	-1
-0.2	0.2	1
0.206	0.206	1
0.166	0.166	-1
0.168	0.168	-1
0.172	0.172	1
-0.208	0.208	1
0.158	0.158	-1
0.16	0.16	-1
0.05	0.05	1
-0.026	0.026	1
0.036	0.036	-1
0.062	0.062	-1
-0.272	0.272	1
-0.266	0.266	1
0.366	0.366	-1
0.356	0.356	-1
-0.04	0.04	1
-0.038	0.038	1
0.256	0.256	-1
0.258	0.258	-1
0.082	0.082	1
0.07	0.07	1
0.29	0.29	-1
0.28	0.28	-1
0.118	0.118	1
0.114	0.114	1
0.204	0.204	-1
0.324	0.324	-1
-0.158	0.158	1
-0.156	0.156	1
0.202	0.202	-1
0.204	0.204	-1
-0.132	0.132	1
-0.218	0.218	1
0.042	0.042	-1
0.04	0.04	-1
-0.212	0.212	1
-0.21	0.21	1
-0.032	0.032	-1
-0.012	0.012	-1
-0.19	0.19	1
-0.282	0.282	1
-0.036	0.036	-1
0.01	0.01	-1
-0.266	0.266	1
-0.27	0.27	1
0.178	0.178	-1
0.18	0.18	-1
-0.16	0.16	1
-0.084	0.084	1
0.134	0.134	-1
0.17	0.17	-1
-0.044	0.044	1
-0.052	0.052	1
0.082	0.082	-1
0.068	0.068	-1
0.016	0.016	1
0.264	0.264	1
0.014	0.014	-1
0.016	0.016	-1
0.27	0.27	1
0.268	0.268	1
0.078	0.078	-1
-0.034	0.034	-1
0.21	0.21	1
0.182	0.182	1
-0.146	0.146	-1
0.008	0.008	-1
0.296	0.296	1
0.3	0.3	1
0.056	0.056	-1
0.064	0.064	-1
0.186	0.186	1
0.182	0.182	1
0.108	0.108	-1
0.122	0.122	-1
0.19	0.19	1
0.192	0.192	1
0.22	0.22	-1
0.206	0.206	-1
0.28	0.28	1
0.178	0.178	1
0.11	0.11	-1
0.134	0.134	-1
0.034	0.034	1
0.036	0.036	1
0.156	0.156	-1
0.168	0.168	-1
0.004	0.004	1
0.026	0.026	1
0.154	0.154	-1
0.156	0.156	-1
0.002	0.002	1
0.004	0.004	1
0.006	0.006	-1
0.004	0.004	-1
-0.042	0.042	1
-0.098	0.098	1
0.06	0.06	-1
0.058	0.058	-1
0.096	0.096	1
0.098	0.098	1
0.114	0.114	-1
0.114	0.114	-1
-0.062	0.062	1
-0.054	0.054	1
0.172	0.172	-1
0.174	0.174	-1
0.19	0.19	1
0.188	0.188	1
0.068	0.068	-1
0.078	0.078	-1
0.138	0.138	1
0.156	0.156	1
0.158	0.158	-1
0.158	0.158	-1
-0.076	0.076	1
-0.07	0.07	1
-0.028	0.028	-1
-0.016	0.016	-1
-0.082	0.082	1
-0.09	0.09	1
-0.106	0.106	-1
-0.072	0.072	-1
0.048	0.048	1
0.052	0.052	1
-0.026	0.026	-1
-0.038	0.038	-1
-0.03	0.03	1
-0.034	0.034	1
-0.048	0.048	-1
-0.09	0.09	-1
-0.078	0.078	1
-0.07	0.07	1
-0.078	0.078	-1
-0.082	0.082	-1
-0.068	0.068	1
-0.09	0.09	1
0.026	0.026	-1
0.028	0.028	-1
-0.098	0.098	1
0.154	0.154	1
0.078	0.078	-1
0.05	0.05	-1
0.174	0.174	1
0.176	0.176	1
0.062	0.062	-1
0.034	0.034	-1
-0.03	0.03	1
-0.034	0.034	1
-0.012	0.012	-1
-0.036	0.036	-1
-0.062	0.062	1
0.152	0.152	1
-0.098	0.098	-1
-0.1	0.1	-1
-0.04	0.04	1
-0.024	0.024	1
-0.04	0.04	-1
-0.038	0.038	-1
-0.008	0.008	1
-0.018	0.018	1
-0.1	0.1	-1
-0.106	0.106	-1
0.062	0.062	1
0.044	0.044	1
-0.116	0.116	-1
-0.122	0.122	-1
0.052	0.052	1
0.05	0.05	1
-0.126	0.126	-1
-0.076	0.076	-1
-0.008	0.008	1
-0.006	0.006	1
0.004	0.004	-1
0.012	0.012	-1
0.06	0.06	1
-0.074	0.074	1
0.042	0.042	-1
-0.02	0.02	-1
-0.212	0.212	1
-0.266	0.266	1
0.146	0.146	-1
0.142	0.142	-1
0.03	0.03	1
0.14	0.14	1
0.114	0.114	-1
0.112	0.112	-1
0.08	0.08	1
0.074	0.074	1
-0.068	0.068	-1
-0.04	0.04	-1
0.176	0.176	1
0.25	0.25	1
0.222	0.222	-1
0.22	0.22	-1
0.184	0.184	1
0.144	0.144	1
0.132	0.132	-1
0.142	0.142	-1
0.22	0.22	1
0.226	0.226	1
-0.052	0.052	-1
-0.088	0.088	-1
0.11	0.11	1
0.108	0.108	1
0.124	0.124	-1
0.128	0.128	-1
0.248	0.248	1
0.296	0.296	1
0.08	0.08	-1
0.082	0.082	-1
0.136	0.136	1
-0.018	0.018	1
0.048	0.048	-1
0.052	0.052	-1
0.078	0.078	1
0.024	0.024	1
-0.046	0.046	-1
-0.044	0.044	-1
-0.012	0.012	1
-0.004	0.004	1
0.082	0.082	-1
0.084	0.084	-1
-0.062	0.062	1
-0.066	0.066	1
0.018	0.018	-1
-0.018	0.018	-1
-0.054	0.054	1
-0.13	0.13	1
0.116	0.116	-1
0.108	0.108	-1
-0.13	0.13	1
-0.122	0.122	1
0.088	0.088	-1
0.078	0.078	-1
-0.044	0.044	1
0.09	0.09	1
0.206	0.206	-1
0.214	0.214	-1
0.168	0.168	1
0.2	0.2	1
0.162	0.162	-1
0.202	0.202	-1
0.104	0.104	1
0.236	0.236	1
-0.054	0.054	-1
-0.108	0.108	-1
-0.106	0.106	1
-0.096	0.096	1
0.004	0.004	-1
0.012	0.012	-1
-0.082	0.082	1
-0.086	0.086	1
-0.112	0.112	-1
-0.114	0.114	-1
0.002	0.002	1
-0.144	0.144	1
-0.098	0.098	-1
-0.086	0.086	-1
-0.146	0.146	1
-0.142	0.142	1
-0.156	0.156	-1
-0.142	0.142	-1
0.106	0.106	1
0.104	0.104	1
